secs,ttime
87,4
87,4
87,4
87,4
87,4
87,4
87,4
87,4
87,5
87,5
87,5
87,5
87,5
87,5
87,5
87,5
87,6
87,6
87,6
87,6
87,6
87,6
87,6
87,6
87,6
87,7
87,7
87,7
87,7
87,7
87,7
87,7
87,7
87,7
87,7
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,9
87,10
87,10
87,10
87,10
87,10
87,10
87,10
87,11
87,11
87,11
87,11
87,11
87,11
87,12
87,12
87,12
87,12
87,13
87,13
87,13
21,65
86,103
20,205
86,205
21,243
21,299
20,315
86,408
20,492
21,64713
