secs,ttime
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,4
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,5
105,6
105,6
105,6
105,6
105,6
105,6
105,6
105,6
105,6
105,6
105,6
105,6
105,7
105,7
104,7
105,7
105,7
105,7
105,7
105,7
105,7
105,7
104,7
105,7
105,7
105,8
105,8
105,8
105,8
105,8
105,8
105,8
105,8
105,8
105,8
105,8
105,8
105,8
104,8
105,9
105,9
105,9
105,9
105,10
105,10
105,10
105,10
105,11
105,11
105,11
105,11
65,45
104,106
104,204
104,205
64,205
65,269
64,307
64,411
64,513
65,38698
